smile_1,smile_2,label
NCCN.CN1C2=C(NC=N2)C(=O)N(C)C1=O.CN1C2=C(NC=N2)C(=O)N(C)C1=O,CCO,2
CCO,[H]C(Cl)(Br)C(F)(F)F,5
NCCN.CN1C2=C(NC=N2)C(=O)N(C)C1=O.CN1C2=C(NC=N2)C(=O)N(C)C1=O,CCOC(=O)N1C=CN(C)C1=S,2
NC12CC3CC(CC(C3)C1)C2,O=[As]O[As]=O,6
CCC1(C)CC(=O)NC1=O,[H]C(Cl)(Br)C(F)(F)F,1
ClC1=CC2=C(OC(=O)N2)C=C1,[H]C(Cl)(Br)C(F)(F)F,1
CCC1(C)CC(=O)NC1=O,COC(F)(F)C(Cl)Cl,1
CCO,CC(N)COC1=C(C)C=CC=C1C,0
FC1=CNC(=O)NC1=O,[H][C@]1(CCC(C)=C[C@@]1([H])C1=C(O)C=C(CCCCC)C=C1O)C(C)=C.[H][C@@]12CCC(C)=C[C@@]1([H])C1=C(O)C=C(CCCCC)C=C1OC2(C)C,0
ClC1=CC=CC(Cl)=C1NC1=NCCN1,CCO,5
CCO,CCC1(CCC(=O)NC1=O)C1=CC=CC=C1,5
N.N.Cl[Pt+2]Cl,CN1CCN(CC1)C1=NC2=CC(Cl)=CC=C2NC2=CC=CC=C12,1
CCO,[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])CCC2=O,5
CCO,[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])C=C[C@@H]2O,5
[Ca++].[N-]=C=[N-],CC(C)(C)NC[C@H](O)C1=CC(CO)=C(O)C=C1,1
NCCN.CN1C2=C(NC=N2)C(=O)N(C)C1=O.CN1C2=C(NC=N2)C(=O)N(C)C1=O,ClC(Cl)C(C1=CC=C(Cl)C=C1)C1=CC=CC=C1Cl,3
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,CCO,5
NCCC1=CC(O)=C(O)C=C1,[H]C(Cl)(Br)C(F)(F)F,26
O=[As]O[As]=O,CC1=NC=C(N1CCO)[N+]([O-])=O,6
NCC1(CC(O)=O)CCCCC1,[H]C(Cl)(Br)C(F)(F)F,1
NNC(=O)C1=CC=NC=C1,[H][C@]1(CCC(C)=C[C@@]1([H])C1=C(O)C=C(CCCCC)C=C1O)C(C)=C.[H][C@@]12CCC(C)=C[C@@]1([H])C1=C(O)C=C(CCCCC)C=C1OC2(C)C,0
CCO,NC(=N)NC(=O)CC1=C(Cl)C=CC=C1Cl,5
CCCCCON=O,O=[As]O[As]=O,1
NCCN.CN1C2=C(NC=N2)C(=O)N(C)C1=O.CN1C2=C(NC=N2)C(=O)N(C)C1=O,ClC1=CC=CC=C1C(N1C=CN=C1)(C1=CC=CC=C1)C1=CC=CC=C1,0
NCCN.CN1C2=C(NC=N2)C(=O)N(C)C1=O.CN1C2=C(NC=N2)C(=O)N(C)C1=O,CCN(CC)CC(=O)NC1=C(C)C=CC=C1C,0
NCCN.CN1C2=C(NC=N2)C(=O)N(C)C1=O.CN1C2=C(NC=N2)C(=O)N(C)C1=O,CC1=NC=C2CN=C(C3=CC=CC=C3F)C3=C(C=CC(Cl)=C3)N12,4
BrC1=C(NC2=NCCN2)C=CC2=NC=CN=C12,CCO,5
CCO,ClC(Cl)C(C1=CC=C(Cl)C=C1)C1=CC=CC=C1Cl,3
CCC1(C)CC(=O)NC1=O,FC(F)OC(Cl)C(F)(F)F,1
NCC1(CC(O)=O)CCCCC1,COC(F)(F)C(Cl)Cl,1
NCCN.CN1C2=C(NC=N2)C(=O)N(C)C1=O.CN1C2=C(NC=N2)C(=O)N(C)C1=O,[O-][N+](=O)C1=CC2=C(NC(=O)CN=C2C2=CC=CC=C2Cl)C=C1,4
CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1,CCO,5
O=[As]O[As]=O,OCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,4
NCCN.CN1C2=C(NC=N2)C(=O)N(C)C1=O.CN1C2=C(NC=N2)C(=O)N(C)C1=O,CCN(CC)C(=S)SSC(=S)N(CC)CC,2
CCO,CNCCCC12CCC(C3=CC=CC=C13)C1=CC=CC=C21,5
CC1O[C@@]2(CS1)CN1CCC2CC1,CC12CC3CC(C)(C1)CC(N)(C3)C2,1
NCCN.CN1C2=C(NC=N2)C(=O)N(C)C1=O.CN1C2=C(NC=N2)C(=O)N(C)C1=O,CN(C)CC\C=C1/C2=CC=CC=C2CSC2=CC=CC=C12,0
O=[As]O[As]=O,C[C@H](CS)C(=O)N1CCC[C@H]1C(O)=O,1
CNC[C@H](O)C1=CC(O)=C(O)C=C1,[H]C(Cl)(Br)C(F)(F)F,26
ClC1=CC2=C(C=C1)C(=C1CCNCC1)C1=C(CC2)C=CC=N1,CCO,5
NCCN.CN1C2=C(NC=N2)C(=O)N(C)C1=O.CN1C2=C(NC=N2)C(=O)N(C)C1=O,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(OC)C=C3,2
ClC1=CC=C2N=C3NC(=O)CN3CC2=C1Cl,O=[As]O[As]=O,24
CN1CCC(CC1)=C1C2=CC=CC=C2C=CC2=CC=CC=C12,CCO,5
[H]C(Cl)(Br)C(F)(F)F,[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])CCC2=O,1
CC1O[C@@]2(CS1)CN1CCC2CC1,NNC(=O)C1=CC=NC=C1,0
CCO,CCN(CC)CC(=O)NC1=C(C)C=CC=C1C,5
N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O,NNC(=O)C1=CC=NC=C1,0
NCCN.CN1C2=C(NC=N2)C(=O)N(C)C1=O.CN1C2=C(NC=N2)C(=O)N(C)C1=O,OC(=O)C1=CN(C2CC2)C2=CC(N3CCNCC3)=C(F)C=C2C1=O,2
CC(N)CC1=CC=CC=C1,NNC(=O)C1=CC=NC=C1,0
NNC1=NN=CC2=CC=CC=C12,FC(F)OC(Cl)C(F)(F)F,1
COC(F)(F)C(Cl)Cl,CC(N)COC1=C(C)C=CC=C1C,0
NC(=N)NC(=O)C1=NC(Cl)=C(N)N=C1N,O=[As]O[As]=O,1
O=[As]O[As]=O,N[C@@H](CC1=CC(O)=C(O)C=C1)C(O)=O,17
CN(C)CCC=C1C2=CC=CC=C2CCC2=CC=CC=C12,CCO,5
[H]C(CCN(C)C)=C1C2=CC=CC=C2COC2=CC=CC=C12,CCO,5
NCCN.CN1C2=C(NC=N2)C(=O)N(C)C1=O.CN1C2=C(NC=N2)C(=O)N(C)C1=O,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=CC=C(OC(C)=O)C=C3CC[C@@]21[H],2
CCC1(C)CC(=O)NC1=O,CN1C(=O)CC(C)(C1=O)C1=CC=CC=C1,1
NCCN.CN1C2=C(NC=N2)C(=O)N(C)C1=O.CN1C2=C(NC=N2)C(=O)N(C)C1=O,OP(O)(=O)OCN1C(=O)NC(C1=O)(C1=CC=CC=C1)C1=CC=CC=C1,3
FC1=CNC(=O)NC1=O,CNC1(CCCCC1=O)C1=CC=CC=C1Cl,0
[H][C@]12C=C[C@H](O)[C@@H]3OC4=C5C(C[C@H]1N(C)CC[C@@]235)=CC=C4OC,[H]C(Cl)(Br)C(F)(F)F,1
C[C@H](C1=CNC=N1)C1=C(C)C(C)=CC=C1,COC(F)(F)C(Cl)Cl,1
CCN1C(=O)NC(C1=O)C1=CC=CC=C1,COC(F)(F)C(Cl)Cl,1
[H][C@]12CC3=C(C(O)=C(O)C=C3)C3=CC=CC(CCN1C)=C23,O=[As]O[As]=O,6
[H][C@]12CC3=C(C(O)=C(O)C=C3)C3=CC=CC(CCN1C)=C23,[H]C(Cl)(Br)C(F)(F)F,1
CC1O[C@@]2(CS1)CN1CCC2CC1,C[C@H]1CNCCC2=CC=C(Cl)C=C12,0
FC(F)OC(F)(F)C(F)Cl,NCC1(CC(O)=O)CCCCC1,1
CCOC(=O)C1=CC=C(N)C=C1,CCC1(C)CC(=O)NC1=O,1
CN(C)CCCN1C2=CC=CC=C2SC2=C1C=C(Cl)C=C2,CCO,5
NC(=O)N1C2=CC=CC=C2C=CC2=CC=CC=C12,COC(F)(F)C(Cl)Cl,8
CC(=O)OC1=CC=CC=C1C(O)=O,OP(O)(=O)C(Cl)(Cl)P(O)(O)=O,1
C[C@H]1CNCCC2=CC=C(Cl)C=C12,CCC1(CC)C(=O)NCC(C)C1=O,0
NCCC1=CC(O)=C(O)C=C1,FC(F)OC(Cl)C(F)(F)F,26
O=[As]O[As]=O,[H][C@]12C[C@@H](O)C=C[C@]11CCN(C)CC3=C1C(O2)=C(OC)C=C3,6
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,COC(F)(F)C(Cl)Cl,1
