smile_1,smile_2,label
NCCN.CN1C2=C(NC=N2)C(=O)N(C)C1=O.CN1C2=C(NC=N2)C(=O)N(C)C1=O,NNC(=O)C1=CC=NC=C1,2
[Ca++].[N-]=C=[N-],C[N+](C)(C)CCOC(N)=O,1
FC(F)OC(F)(F)C(F)Cl,CCO,5
NCCN.CN1C2=C(NC=N2)C(=O)N(C)C1=O.CN1C2=C(NC=N2)C(=O)N(C)C1=O,CCOC(=O)N1C=CN(C)C1=S,2
CCO,CCC1(CCC(=O)NC1=O)C1=CC=CC=C1,5
N.N.Cl[Pt+2]Cl,CN1CCN(CC1)C1=NC2=CC(Cl)=CC=C2NC2=CC=CC=C12,1
[H]C(Cl)(Br)C(F)(F)F,NNC(=O)C1=CC=NC=C1,0
CCO,[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])C=C[C@@H]2O,5
[Ca++].[N-]=C=[N-],CC(C)(C)NC[C@H](O)C1=CC(CO)=C(O)C=C1,1
NNC(=O)C1=CC=NC=C1,COC(F)(F)C(Cl)Cl,0
O=[As]O[As]=O,CC1=NC=C(N1CCO)[N+]([O-])=O,6
CCO,NC(=N)NC(=O)CC1=C(Cl)C=CC=C1Cl,5
ClC1=CC2=C(OC(=O)N2)C=C1,CCC1(C)CC(=O)NC1=O,1
OC(=O)\C=C/C(O)=O.CN(C)CC[C@@H](C1=CC=C(Cl)C=C1)C1=CC=CC=N1,C[C@H](N)CC1=CC=CC=C1,21
CCO,CCN(CC)C(=O)[C@]1(C[C@H]1CN)C1=CC=CC=C1,47
CCO,[H][C@]12OC[C@H](O[N+]([O-])=O)[C@@]1([H])OC[C@H]2O[N+]([O-])=O,64
CCC1(C)CC(=O)NC1=O,NNC(=O)C1=CC=NC=C1,0
NCCS,NC1=NCC2N1C1=CC=CC=C1CC1=CC=CC=C21,4
ClCCN(CCCl)P1(=O)NCCCO1,NC(=O)NO,27
CCC1(C)CC(=O)NC1=O,FC(F)OC(Cl)C(F)(F)F,1
NCC1(CC(O)=O)CCCCC1,COC(F)(F)C(Cl)Cl,1
CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1,CCO,5
NCCN.CN1C2=C(NC=N2)C(=O)N(C)C1=O.CN1C2=C(NC=N2)C(=O)N(C)C1=O,CCN(CC)C(=S)SSC(=S)N(CC)CC,2
C[C@H](N)CC1=CC=CC=C1,CCC1(C)CC(=O)NC1=O,54
NCCC1=CC(O)=C(O)C=C1,FC1=CNC(=O)NC1=O,0
ClC1=CC2=C(C=C1)N1C=NN=C1CN=C2C1=CC=CC=C1,CCO,5
C[C@H](CS)C(=O)N1CCC[C@H]1C(O)=O,[H]C(Cl)(Br)C(F)(F)F,1
O=[As]O[As]=O,C[C@H](CS)C(=O)N1CCC[C@H]1C(O)=O,1
CNC[C@H](O)C1=CC(O)=C(O)C=C1,[H]C(Cl)(Br)C(F)(F)F,26
ClC1=CC2=C(C=C1)C(=C1CCNCC1)C1=C(CC2)C=CC=N1,CCO,5
O=[As]O[As]=O,ClC1=CC=CC(Cl)=C1NC1=NCCN1,1
ClC1=CC=CC(Cl)=C1NC1=NCCN1,[H]C(Cl)(Br)C(F)(F)F,1
NCCN.CN1C2=C(NC=N2)C(=O)N(C)C1=O.CN1C2=C(NC=N2)C(=O)N(C)C1=O,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(OC)C=C3,2
OC(=O)\C=C/C(O)=O.CN(C)CC[C@@H](C1=CC=C(Cl)C=C1)C1=CC=CC=N1,CN[C@@H](C)CC1=CC=CC=C1,21
ClC1=CC2=C(OC(=O)N2)C=C1,FC(F)OC(Cl)C(F)(F)F,1
CN1CCC(CC1)=C1C2=CC=CC=C2C=CC2=CC=CC=C12,CCO,5
CCO,CN1C2=C(C=C(Cl)C=C2)C2(OC(C)=CC(=O)N2CC1=O)C1=CC=CC=C1,5
O=[As]O[As]=O,[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])C=C[C@@H]2O,1
CCOC(=O)C1=CC=C(N)C=C1,COC(F)(F)C(Cl)Cl,1
ClC1=CC=CC=C1C(N1C=CN=C1)(C1=CC=CC=C1)C1=CC=CC=C1,CCO,0
CN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=CC=C1,CCO,5
CC1O[C@@]2(CS1)CN1CCC2CC1,NNC(=O)C1=CC=NC=C1,0
CN1C=NC2=C1C(=O)N(C)C(=O)N2C,ClC1=CC2=C(OC(=O)N2)C=C1,0
O=[As]O[As]=O,CCC1(C(=O)NC(=O)N(C)C1=O)C1=CC=CC=C1,7
