smile_1,smile_2,label
[Al],[Fe],0
O.[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[Mg++].[Mg++].[Mg++].[Mg++].[Mg++].[Mg++].[Mg++].[Mg++].[Mg++].[Mg++].[Al+3].[Al+3].[Al+3].[Al+3].[Al+3].[O-]S([O-])(=O)=O.[O-]S([O-])(=O)=O,[Fe],0
[O--].[Mg++],[Fe+3].[Fe+3].[Fe+3].[Fe+3].[O-]P([O-])(=O)OP([O-])([O-])=O.[O-]P([O-])(=O)OP([O-])([O-])=O.[O-]P([O-])(=O)OP([O-])([O-])=O,0
[K+].[K+].OP([O-])([O-])=O,[O--].[Mg++],8
[Ca++].[O-]C([O-])=O,[Fe],0
[Na+].OC([O-])=O,[Li+],15
[Fe],[Na+].OP(O)([O-])=O,0
[K+],[Na+].OP(O)([O-])=O,20
[Mg++].[O-]S([O-])(=O)=O,[Li+],53
O.[Mg++].[Al+3].[Al+3].[O-][Si]([O-])([O-])[O-].[O-][Si]([O-])([O-])[O-],[K+].[K+].OP([O-])([O-])=O,0
[Ca++].[Ca++].[Ca++].[O-]P([O-])([O-])=O.[O-]P([O-])([O-])=O,[K+].[K+].OP([O-])([O-])=O,0
O.O.[98Tc+4].[O-]P([O-])(=O)CP([O-])([O-])=O,[OH-].[OH-].[Mg++],8
[N-]=[N+]=O,[Li+],25
[Li+],CCO,53
[K+].[K+].[K+].[K+].[K+].[Bi+3].[O-]C(=O)CC([O-])(CC([O-])=O)C([O-])=O.[O-]C(=O)CC([O-])(CC([O-])=O)C([O-])=O,O.[Mg++].[Al+3].[Al+3].[O-][Si]([O-])([O-])[O-].[O-][Si]([O-])([O-])[O-],12
[Ca++].CC([O-])=O.CC([O-])=O,[Na+].OP(O)([O-])=O,0
